Wall time,Step,Value
1526688843.2168796,6010,8186.67822265625
1526688851.2369297,6121,8063.970703125
1526688851.955921,6131,9510.806640625
1526688856.940239,6200,8119.4150390625
1526688857.8799257,6213,8910.103515625
1526688858.3167958,6219,8291.1015625
1526688859.253598,6232,7819.1533203125
1526688863.3714674,6289,8701.259765625
1526688865.030986,6312,7722.47900390625
1526688865.3941085,6317,8065.1484375
1526688869.651285,6376,9192.8056640625
1526688880.042834,6520,8162.0712890625
1526688883.9397824,6574,8564.572265625
1526688886.0336647,6603,8654.865234375
1526688889.9224634,6657,8325.3447265625
1526688892.7322176,6696,8161.62109375
1526688892.9477272,6699,7946.4189453125
1526688893.8160377,6711,8570.595703125
1526688896.0572681,6742,8520.224609375
1526688903.5635374,6846,7927.1796875
1526688904.1384385,6854,8710.9560546875
1526688905.224175,6869,8466.9326171875
1526688912.2212913,6966,7970.0810546875
1526688914.097781,6992,8266.7265625
1526688915.687615,7014,8738.646484375
1526688922.3386338,7106,8036.796875
1526688922.9117486,7114,8369.4453125
1526688925.8723547,7155,8677.634765625
1526688932.5159802,7247,8070.89306640625
1526688937.1361008,7311,7454.435546875
1526688939.1601934,7339,7837.857421875
1526688939.231387,7340,8191.205078125
1526688940.604291,7359,8675.998046875
1526688942.2631779,7382,8123.7646484375
1526688943.6351624,7401,8011.71484375
1526688947.173922,7450,8749.88671875
1526688947.8927824,7460,7992.20166015625
1526688948.1083868,7463,7873.6787109375
1526688949.196059,7478,8731.3330078125
1526688951.5811257,7511,8155.1435546875
1526688964.291917,7687,8133.71337890625
1526688964.724533,7693,8370.107421875
1526688969.5594347,7760,8450.419921875
1526688971.5788534,7788,7946.4033203125
1526688972.3023791,7798,7897.75048828125
1526688974.8279512,7833,7611.38916015625
1526688979.6747532,7900,8165.51708984375
1526688981.9847472,7932,7967.47802734375
1526688986.2467558,7991,8400.8134765625
1526688989.0670886,8026,7856.6650390625
1526688991.9533536,8066,8815.990234375
1526689000.182783,8180,7701.03466796875
1526689002.708802,8215,8225.1123046875
1526689003.1440547,8221,7831.30908203125
1526689008.1233554,8290,8314.755859375
1526689011.300429,8334,7725.3544921875
1526689013.3960915,8363,7900.6904296875
1526689013.7549183,8368,8047.06787109375
1526689014.4064138,8377,8390.75390625
1526689020.9155786,8467,8870.5732421875
1526689021.1325758,8470,8347.6669921875
1526689023.1546884,8498,8004.529296875
1526689023.8770146,8508,8251.111328125
1526689028.0654817,8566,7913.71337890625
1526689030.596498,8601,7822.3017578125
1526689033.0508835,8635,8381.0078125
1526689037.3873167,8695,7878.3115234375
1526689046.3518343,8819,8330.7919921875
1526689046.566966,8822,8193.2314453125
1526689050.613596,8878,8362.28125
1526689052.4989934,8904,8152.978515625
1526689052.713332,8907,8263.107421875
1526689054.2301002,8928,7820.34814453125
1526689054.7369103,8935,7727.08984375
1526689058.9254537,8993,7810.98486328125
1526689059.359944,8999,8173.9580078125
1526689063.4067543,9055,7876.38134765625
1526689075.761171,9226,7551.1123046875
1526689076.2702088,9233,8554.65234375
1526689078.219141,9260,7840.5341796875
1526689082.2688706,9316,7778.49072265625
1526689084.5790665,9348,7685.7216796875
1526689089.2121024,9412,7691.431640625
1526689089.4278157,9415,7740.3291015625
1526689090.8732715,9435,8382.205078125
1526689093.2576036,9468,7985.099609375
1526689098.9645596,9547,8203.35546875
